protein1 protein2 experimental database textmining combined_score
224308.BSU00090 224308.BSU14170 213 0 0 213
224308.BSU00090 224308.BSU37880 189 0 0 189
224308.BSU00090 224308.BSU16450 314 0 0 313
224308.BSU00090 224308.BSU39850 166 0 0 165
224308.BSU00090 224308.BSU21550 189 0 0 189
224308.BSU00090 224308.BSU08370 166 0 0 165
224308.BSU00090 224308.BSU22880 227 0 0 226
224308.BSU00090 224308.BSU22140 202 0 0 202
224308.BSU00090 224308.BSU28440 253 0 0 252
224308.BSU00090 224308.BSU17500 206 0 0 206
224308.BSU00090 224308.BSU33030 166 0 0 165
224308.BSU00090 224308.BSU32000 202 0 0 202
224308.BSU00090 224308.BSU34670 197 0 0 197
224308.BSU00090 224308.BSU30310 250 0 0 250
224308.BSU00090 224308.BSU05350 189 0 0 189
224308.BSU00090 224308.BSU35340 355 0 0 355
224308.BSU00090 224308.BSU13080 189 0 0 189
224308.BSU00090 224308.BSU10430 202 0 0 202
224308.BSU00090 224308.BSU04340 207 0 0 207
224308.BSU00090 224308.BSU19010 206 0 0 206
224308.BSU00090 224308.BSU29630 166 0 0 165
224308.BSU00090 224308.BSU35170 227 0 0 226
224308.BSU00090 224308.BSU29680 213 0 0 213
224308.BSU00090 224308.BSU11710 226 0 0 225
224308.BSU00090 224308.BSU10400 202 0 0 202
224308.BSU00090 224308.BSU35150 189 0 0 189
224308.BSU00090 224308.BSU14770 227 0 0 226
224308.BSU00090 224308.BSU30690 197 0 0 197
224308.BSU00090 224308.BSU05580 166 0 0 165
224308.BSU00090 224308.BSU35410 355 0 0 355
224308.BSU00090 224308.BSU08090 227 0 0 226
224308.BSU00090 224308.BSU12040 189 0 0 189
224308.BSU00090 224308.BSU28550 166 0 0 165
224308.BSU00090 224308.BSU39840 202 0 0 202
224308.BSU00090 224308.BSU08650 202 0 0 202
224308.BSU00090 224308.BSU06700 166 0 0 165
224308.BSU00090 224308.BSU03850 166 0 0 165
224308.BSU00090 224308.BSU38220 166 0 0 165
224308.BSU00090 224308.BSU24540 250 0 0 250
224308.BSU00090 224308.BSU36010 207 0 0 207
224308.BSU00090 224308.BSU39990 166 0 0 165
224308.BSU00090 224308.BSU17200 214 0 0 214
224308.BSU00090 224308.BSU29560 213 0 0 213
224308.BSU00090 224308.BSU27170 166 0 0 165
224308.BSU00090 224308.BSU04210 189 0 0 189
224308.BSU00090 224308.BSU38020 226 0 0 225
224308.BSU00090 224308.BSU06620 227 0 0 226
224308.BSU00090 224308.BSU01480 190 0 0 190
224308.BSU00090 224308.BSU26510 250 0 0 250
224308.BSU00090 224308.BSU25200 247 0 0 246
224308.BSU00090 224308.BSU17180 258 0 0 258
224308.BSU00090 224308.BSU16870 202 0 0 202
224308.BSU00090 224308.BSU15910 202 0 0 202
224308.BSU00090 224308.BSU16320 314 0 0 313
224308.BSU00090 224308.BSU07735 189 0 0 189
224308.BSU00090 224308.BSU03930 202 0 0 202
224308.BSU00090 224308.BSU06860 166 0 0 165
224308.BSU00090 224308.BSU17890 227 0 0 226
224308.BSU00090 224308.BSU35400 189 0 0 189
224308.BSU00090 224308.BSU21870 227 0 0 226
224308.BSU00090 224308.BSU32910 202 0 0 202
224308.BSU00090 224308.BSU29740 526 0 0 526
224308.BSU00090 224308.BSU17520 189 0 0 189
224308.BSU00090 224308.BSU33470 203 0 0 203
224308.BSU00090 224308.BSU00720 203 0 0 203
224308.BSU00090 224308.BSU29420 202 0 0 202
224308.BSU00090 224308.BSU27550 227 0 0 226
224308.BSU00090 224308.BSU38970 202 0 0 202
224308.BSU00090 224308.BSU13860 448 0 0 448
224308.BSU00090 224308.BSU19070 166 0 0 165
224308.BSU00090 224308.BSU30940 0 0 211 211
224308.BSU00090 224308.BSU15710 227 0 0 226
224308.BSU00090 224308.BSU40420 0 0 306 306
224308.BSU00090 224308.BSU13770 202 0 0 202
224308.BSU00090 224308.BSU01310 260 0 0 260
224308.BSU00090 224308.BSU35660 213 0 0 213
224308.BSU00090 224308.BSU18530 189 0 0 189
224308.BSU00090 224308.BSU01860 197 0 0 197
224308.BSU00090 224308.BSU17190 214 0 0 214
224308.BSU00090 224308.BSU09450 202 0 0 202
224308.BSU00090 224308.BSU11890 189 0 0 189
224308.BSU00090 224308.BSU10150 166 0 0 165
224308.BSU00090 224308.BSU09950 203 0 0 203
224308.BSU00090 224308.BSU14060 202 0 0 202
224308.BSU00090 224308.BSU02680 166 0 0 165
